Name,Year,Theme,Quote
"Seneca",,"Focus","The whole future lies in uncertainty: live immediately."
"Seneca",,"Personal Growth","Difficulties strengthen the mind, as labor does the body."
"Seneca",,"Personal Growth","To wish to be well is a part of becoming well."
"Seneca",,"Focus","The greatest remedy for anger is delay."
"Seneca",,"Leadership","He who spares the wicked injures the good."
"Seneca",,"Personal Growth","It is not the man who has too little, but the man who craves more, that is poor."
"Seneca",,"Focus","While we are postponing, life speeds by."
"Seneca",,"Focus","The mind that is anxious about future events is miserable."
"Seneca",,"Personal Growth","Life is long if you know how to use it."
"Seneca",,"Success","Wealth is the slave of a wise man. The master of a fool."
"Seneca",,"Focus","It is quality rather than quantity that matters."
"Seneca",,"Personal Growth","The good things of prosperity are to be wished; but the good things that belong to adversity are to be admired."
"Seneca",,"Focus","If one does not know to which port one is sailing, no wind is favorable."
"Plato",,"Personal Growth","The first and greatest victory is to conquer yourself."
"Plato",,"Leadership","Wise men speak because they have something to say; fools because they have to say something."
"Plato",,"Personal Growth","Courage is knowing what not to fear."
"Plato",,"Leadership","The measure of a man is what he does with power."
"Plato",,"Personal Growth","Ignorance, the root and stem of all evil."
"Plato",,"Leadership","Good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws."
"Plato",,"Leadership","He who is not a good servant will not be a good master."
"Plato",,"Leadership","The price good men pay for indifference to public affairs is to be ruled by evil men."
"Plato",,"Personal Growth","We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light."
"Plato",,"Focus","The beginning is the most important part of the work."
"Plato",,"Personal Growth","There is no harm in repeating a good thing."
"Plato",,"Success","Necessity is the mother of invention."
"Plato",,"Leadership","The heaviest penalty for declining to rule is to be ruled by someone inferior to yourself."
"Plato",,"Personal Growth","The direction in which education starts a man will determine his future in life."
"Plato",,"Personal Growth","Opinion is the medium between knowledge and ignorance."
"Plato",,"Personal Growth","At the touch of love everyone becomes a poet."
"Plato",,"Personal Growth","The man who makes everything that leads to happiness depend upon himself, and not upon other men, has adopted the very best plan for living happily."
"Plato",,"Focus","There are two things a person should never be angry at, what they can help, and what they cannot."
"Plato",,"Personal Growth","The greatest wealth is to live content with little."
"Plato",,"Personal Growth","He who commits injustice is ever made more wretched than he who suffers it."
"Marie Curie",,"Personal Growth","Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less."
"Marie Curie",,"Focus","Be less curious about people and more curious about ideas."
"Marie Curie",,"Success","I was taught that the way of progress was neither swift nor easy."
"Marie Curie",,"Focus","One never notices what has been done; one can only see what remains to be done."
"Marie Curie",,"Leadership","You cannot hope to build a better world without improving the individuals."
"Marie Curie",,"Personal Growth","I am among those who think that science has great beauty."
"Marie Curie",,"Personal Growth","Life is not easy for any of us. But what of that? We must have perseverance and above all confidence in ourselves."
"Marie Curie",,"Success","We must believe that we are gifted for something and that this thing must be attained."
"Marie Curie",,"Personal Growth","I have frequently been questioned, especially by women, of how I could reconcile family life with a scientific career. Well, it has not been easy."
"Marie Curie",,"Personal Growth","A scientist in his laboratory is not a mere technician: he is also a child confronting natural phenomena that impress him as though they were fairy tales."
"Marie Curie",,"Leadership","I am one of those who think like Nobel, that humanity will draw more good than evil from new discoveries."
"Marie Curie",,"Focus","There are sadistic scientists who hurry to hunt down errors instead of establishing the truth."
"Marie Curie",,"Success","The various reasons which we have enumerated lead us to believe that the new radioactive substance contains a new element which we propose to give the name of radium."
"Marie Curie",,"Leadership","After all, science is essentially international, and it is only through lack of the historical sense that national qualities have been attributed to it."
"Marie Curie",,"Focus","I have no dress except the one I wear every day. If you are going to be kind enough to give me one, please let it be practical and dark so that I can put it on afterwards to go to the laboratory."
"Marie Curie",,"Personal Growth","It was like a new world opened to me, the world of science, which I was at last permitted to know in all liberty."
"Marie Curie",,"Focus","I never see what has been done; I only see what remains to be done."
"Marie Curie",,"Success","We must not forget that when radium was discovered no one knew that it would prove useful in hospitals."
"Marie Curie",,"Leadership","Humanity needs practical men, who get the most out of their work, and, without forgetting the general good, safeguard their own interests. But humanity also needs dreamers, for whom the disinterested development of an enterprise is so captivating that it becomes impossible for them to devote their care to their own material profit."
"Marie Curie",,"Personal Growth","You must never be fearful of what you are doing when it is right."
"Ernest Shackleton",,"Success","Superhuman effort isn't worth a damn unless it achieves results."
"Ernest Shackleton",,"Personal Growth","Difficulties are just things to overcome, after all."
"Ernest Shackleton",,"Leadership","Optimism is true moral courage."
"Ernest Shackleton",,"Success","I have often marveled at the thin line which separates success from failure."
"Ernest Shackleton",,"Leadership","If you're a leader, a fellow that other fellows look to, you've got to keep going."
"Ernest Shackleton",,"Personal Growth","We had seen God in His splendors, heard the text that Nature renders. We had reached the naked soul of man."
"Ernest Shackleton",,"Leadership","The quality I look for most is optimism: especially optimism in the face of reverses and apparent defeat. Optimism is true moral courage."
"Ernest Shackleton",,"Personal Growth","I thought you'd rather have a live donkey than a dead lion."
"Ernest Shackleton",,"Leadership","Leadership is a fine thing, but it has its penalties. And the greatest penalty is loneliness."
"Ernest Shackleton",,"Focus","The noise resembles the roar of heavy, distant surf. Standing on the stirring ice one can imagine it is disturbed by the breathing and tossing of a mighty giant below."
"Ernest Shackleton",,"Leadership","Men wanted for hazardous journey. Small wages, bitter cold, long months of complete darkness, constant danger, safe return doubtful. Honour and recognition in case of success."
"Ernest Shackleton",,"Personal Growth","I believe it is in our nature to explore, to reach out into the unknown. The only true failure would be not to explore at all."
"Ernest Shackleton",,"Personal Growth","By endurance we conquer."
"Ernest Shackleton",,"Personal Growth","We had pierced the veneer of outside things. We had 'suffered, starved, and triumphed, groveled down yet grasped at glory, grown bigger in the bigness of the whole.' We had seen God in His splendors, heard the text that Nature renders. We had reached the naked soul of man."
"Ernest Shackleton",,"Focus","I seemed to vow to myself that some day I would go to the region of ice and snow and go on and on till I came to one of the poles of the earth, the end of the axis upon which this great round ball turns."
"Ernest Shackleton",,"Leadership","The whole of the suggested plan is based on a combination of the utmost prudence with the greatest courage."
"Ernest Shackleton",,"Leadership","I have been careful to foster the spirit of camaraderie among the men."
"Ernest Shackleton",,"Leadership","Our situation was alarming, and I thought it best not to tell the men of the full extent of our danger."
"Ernest Shackleton",,"Leadership","I called the men together and explained the position frankly to them."
"Ernest Shackleton",,"Leadership","We were in a mess, and the Boss had got us out of it."
"Teddy Roosevelt",,"Focus","Do what you can, with what you have, where you are."
"Teddy Roosevelt",,"Personal Growth","Believe you can and you're halfway there."
"Teddy Roosevelt",,"Success","The only man who never makes a mistake is the man who never does anything."
"Teddy Roosevelt",,"Success","It is hard to fail, but it is worse never to have tried to succeed."
"Teddy Roosevelt",,"Success","Far and away the best prize that life has to offer is the chance to work hard at work worth doing."
"Teddy Roosevelt",,"Leadership","The best executive is the one who has sense enough to pick good men to do what he wants done, and self-restraint to keep from meddling with them while they do it."
"Teddy Roosevelt",,"Focus","In any moment of decision, the best thing you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing."
"Teddy Roosevelt",,"Focus","Keep your eyes on the stars, and your feet on the ground."
"Teddy Roosevelt",,"Leadership","People don't care how much you know until they know how much you care."
"Teddy Roosevelt",,"Leadership","No one cares how much you know, until they know how much you care."
"Teddy Roosevelt",,"Leadership","Speak softly and carry a big stick; you will go far."
"Teddy Roosevelt",,"Personal Growth","The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood."
"Teddy Roosevelt",,"Success","Far better is it to dare mighty things, to win glorious triumphs, even though checkered by failure... than to rank with those poor spirits who neither enjoy nor suffer much, because they live in a gray twilight that knows not victory nor defeat."
"Teddy Roosevelt",,"Personal Growth","It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better."
"Teddy Roosevelt",,"Leadership","To educate a man in mind and not in morals is to educate a menace to society."
"Teddy Roosevelt",,"Personal Growth","When you're at the end of your rope, tie a knot and hold on."
"Teddy Roosevelt",,"Personal Growth","Courage is not having the strength to go on; it is going on when you don't have the strength."
"Teddy Roosevelt",,"Success","The only way to do great work is to love what you do."
"Teddy Roosevelt",,"Leadership","The most important single ingredient in the formula of success is knowing how to get along with people."
"Teddy Roosevelt",,"Focus","Nine-tenths of wisdom is being wise in time."
"Marcus Aurelius",,"Personal Growth","The happiness of your life depends upon the quality of your thoughts."
"Marcus Aurelius",,"Focus","You have power over your mind - not outside events. Realize this, and you will find strength."
"Marcus Aurelius",,"Personal Growth","Waste no more time arguing about what a good man should be. Be one."
"Marcus Aurelius",,"Personal Growth","It is not death that a man should fear, but he should fear never beginning to live."
"Marcus Aurelius",,"Personal Growth","The best revenge is to be unlike him who performed the injury."
"Marcus Aurelius",,"Personal Growth","Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart."
"Marcus Aurelius",,"Personal Growth","The soul becomes dyed with the color of its thoughts."
"Marcus Aurelius",,"Focus","If it is not right do not do it; if it is not true do not say it."
"Marcus Aurelius",,"Personal Growth","Very little is needed to make a happy life; it is all within yourself, in your way of thinking."
"Marcus Aurelius",,"Personal Growth","The universe is change; our life is what our thoughts make it."
"Marcus Aurelius",,"Focus","Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth."
"Marcus Aurelius",,"Personal Growth","When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to love."
"Marcus Aurelius",,"Personal Growth","The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane."
"Marcus Aurelius",,"Personal Growth","Loss is nothing else but change, and change is Nature's delight."
"Marcus Aurelius",,"Personal Growth","He who lives in harmony with himself lives in harmony with the universe."
"Marcus Aurelius",,"Focus","Confine yourself to the present."
"Marcus Aurelius",,"Personal Growth","The art of living is more like wrestling than dancing."
"Marcus Aurelius",,"Focus","Nowhere can man find a quieter or more untroubled retreat than in his own soul."
"Marcus Aurelius",,"Personal Growth","To live happily is an inward power of the soul."
"Marcus Aurelius",,"Success","The impediment to action advances action. What stands in the way becomes the way."
"Confucius",,"Personal Growth","It does not matter how slowly you go as long as you do not stop."
"Confucius",,"Personal Growth","Our greatest glory is not in never falling, but in rising every time we fall."
"Confucius",,"Success","The man who moves a mountain begins by carrying away small stones."
"Confucius",,"Personal Growth","Everything has beauty, but not everyone sees it."
"Confucius",,"Success","The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence."
"Confucius",,"Focus","Life is really simple, but we insist on making it complicated."
"Confucius",,"Success","Choose a job you love, and you will never have to work a day in your life."
"Confucius",,"Leadership","The superior man is modest in his speech, but exceeds in his actions."
"Confucius",,"Focus","When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps."
"Confucius",,"Personal Growth","The more man meditates upon good thoughts, the better will be his world and the world at large."
"Confucius",,"Leadership","To see what is right and not do it is a lack of courage."
"Confucius",,"Success","Success depends upon previous preparation, and without such preparation there is sure to be failure."
"Confucius",,"Leadership","The strength of a nation derives from the integrity of the home."
"Confucius",,"Focus","The expectations of life depend upon diligence; the mechanic that would perfect his work must first sharpen his tools."
"Confucius",,"Personal Growth","He who learns but does not think, is lost! He who thinks but does not learn is in great danger."
"Confucius",,"Personal Growth","If you look into your own heart, and you find nothing wrong there, what is there to worry about? What is there to fear?"
"Confucius",,"Personal Growth","The man who asks a question is a fool for a minute, the man who does not ask is a fool for life."
"Confucius",,"Personal Growth","To be wronged is nothing unless you continue to remember it."
"Confucius",,"Personal Growth","The gem cannot be polished without friction, nor man perfected without trials."
"Confucius",,"Focus","The hardest thing of all is to find a black cat in a dark room, especially if there is no cat."
"Socrates",,"Personal Growth","The only true wisdom is in knowing you know nothing."
"Socrates",,"Personal Growth","To know, is to know that you know nothing. That is the meaning of true knowledge."
"Socrates",,"Personal Growth","Education is the kindling of a flame, not the filling of a vessel."
"Socrates",,"Personal Growth","Wonder is the beginning of wisdom."
"Socrates",,"Personal Growth","Be kind, for everyone you meet is fighting a hard battle."
"Socrates",,"Personal Growth","He who is not contented with what he has, would not be contented with what he would like to have."
"Socrates",,"Personal Growth","The unexamined life is not worth living."
"Socrates",,"Personal Growth","There is only one good, knowledge, and one evil, ignorance."
"Socrates",,"Leadership","I cannot teach anybody anything. I can only make them think."
"Socrates",,"Personal Growth","To find yourself, think for yourself."
"Socrates",,"Focus","The secret of change is to focus all of your energy, not on fighting the old, but on building the new."
"Socrates",,"Leadership","Let him who would move the world first move himself."
"Socrates",,"Personal Growth","The greatest way to live with honor in this world is to be what we pretend to be."
"Socrates",,"Personal Growth","He is richest who is content with the least, for content is the wealth of nature."
"Socrates",,"Focus","Understanding a question is half an answer."
"Socrates",,"Personal Growth","The mind is everything; what you think, you become."
"Socrates",,"Personal Growth","True knowledge exists in knowing that you know nothing."
"Socrates",,"Personal Growth","Employ your time in improving yourself by other men's writings so that you shall gain easily what others have labored hard for."
"Socrates",,"Personal Growth","The hottest love has the coldest end."
"Socrates",,"Personal Growth","From the deepest desires often come the deadliest hate."
"Aristotle",,"Personal Growth","We are what we repeatedly do. Excellence, then, is not an act, but a habit."
"Aristotle",,"Personal Growth","The roots of education are bitter, but the fruit is sweet."
"Aristotle",,"Focus","It is the mark of an educated mind to be able to entertain a thought without accepting it."
"Aristotle",,"Success","Quality is not an act, it is a habit."
"Aristotle",,"Leadership","The whole is greater than the sum of its parts."
"Aristotle",,"Success","Pleasure in the job puts perfection in the work."
"Aristotle",,"Focus","The aim of the wise is not to secure pleasure, but to avoid pain."
"Aristotle",,"Personal Growth","Knowing yourself is the beginning of all wisdom."
"Aristotle",,"Personal Growth","The energy of the mind is the essence of life."
"Aristotle",,"Personal Growth","Happiness depends upon ourselves."
"Aristotle",,"Personal Growth","To avoid criticism say nothing, do nothing, be nothing."
"Aristotle",,"Leadership","The worst form of inequality is to try to make unequal things equal."
"Aristotle",,"Personal Growth","The secret to humor is surprise."
"Aristotle",,"Focus","The law is reason, free from passion."
"Aristotle",,"Leadership","The virtue of justice consists in moderation, as regulated by wisdom."
"Aristotle",,"Personal Growth","The educated differ from the uneducated as much as the living from the dead."
"Aristotle",,"Personal Growth","The more you know, the more you realize you don't know."
"Aristotle",,"Personal Growth","He who has overcome his fears will truly be free."
"Aristotle",,"Focus","The aim of art is to represent not the outward appearance of things, but their inward significance."
"Aristotle",,"Leadership","The wise man does not expose himself needlessly to danger, since there are few things for which he cares sufficiently; but he is willing, in great crises, to give even his life - knowing that under certain conditions it is not worthwhile to live."
"Leonardo da Vinci",,"Personal Growth","Learning never exhausts the mind."
"Leonardo da Vinci",,"Focus","Simplicity is the ultimate sophistication."
"Leonardo da Vinci",,"Success","Art is never finished, only abandoned."
"Leonardo da Vinci",,"Success","I have been impressed with the urgency of doing. Knowing is not enough; we must apply. Being willing is not enough; we must do."
"Leonardo da Vinci",,"Personal Growth","The greatest deception men suffer is from their own opinions."
"Leonardo da Vinci",,"Personal Growth","As a well-spent day brings happy sleep, so a life well spent brings happy death."
"Leonardo da Vinci",,"Personal Growth","The noblest pleasure is the joy of understanding."
"Leonardo da Vinci",,"Focus","Time stays long enough for anyone who will use it."
"Leonardo da Vinci",,"Focus","He who loves practice without theory is like the sailor who boards ship without a rudder and compass and never knows where he may cast."
"Leonardo da Vinci",,"Personal Growth","The function of muscle is to pull and not to push, except in the case of the genitals and the tongue."
"Leonardo da Vinci",,"Personal Growth","Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigor of the mind."
"Leonardo da Vinci",,"Personal Growth","The human foot is a masterpiece of engineering and a work of art."
"Leonardo da Vinci",,"Success","The painter has the Universe in his mind and hands."
"Leonardo da Vinci",,"Personal Growth","Water is the driving force of all nature."
"Leonardo da Vinci",,"Personal Growth","Marriage is like putting your hand into a bag of snakes in the hope of pulling out an eel."
"Leonardo da Vinci",,"Personal Growth","The knowledge of all things is possible."
"Leonardo da Vinci",,"Personal Growth","One can have no smaller or greater mastery than mastery of oneself."
"Leonardo da Vinci",,"Focus","The artist sees what others only catch a glimpse of."
"Leonardo da Vinci",,"Personal Growth","Blinding ignorance does mislead us. O! Wretched mortals, open your eyes!"
"Leonardo da Vinci",,"Focus","Nature never breaks her own laws."
"Sun Tzu",,"Leadership","The supreme art of war is to subdue the enemy without fighting."
"Sun Tzu",,"Success","Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win."
"Sun Tzu",,"Focus","If you know the enemy and know yourself, you need not fear the result of a hundred battles."
"Sun Tzu",,"Success","In the midst of chaos, there is also opportunity."
"Sun Tzu",,"Leadership","All warfare is based on deception."
"Sun Tzu",,"Leadership","The greatest victory is that which requires no battle."
"Sun Tzu",,"Focus","He will win who knows when to fight and when not to fight."
"Sun Tzu",,"Focus","The wise warrior avoids the battle."
"Sun Tzu",,"Leadership","There is no instance of a nation benefiting from prolonged warfare."
"Sun Tzu",,"Focus","The art of war teaches us to rely not on the likelihood of the enemy's not coming, but on our own readiness to receive him; not on the chance of his not attacking, but rather on the fact that we have made our position unassailable."
"Sun Tzu",,"Success","To fight and conquer in all your battles is not supreme excellence; supreme excellence consists in breaking the enemy's resistance without fighting."
"Sun Tzu",,"Success","Opportunities multiply as they are seized."
"Sun Tzu",,"Focus","The general who wins the battle makes many calculations in his temple before the battle is fought."
"Sun Tzu",,"Focus","He who is prudent and lies in wait for an enemy who is not, will be victorious."
"Sun Tzu",,"Success","The good fighters of old first put themselves beyond the possibility of defeat, and then waited for an opportunity of defeating the enemy."
"Sun Tzu",,"Leadership","When you surround an army, leave an outlet free. Do not press a desperate foe too hard."
"Sun Tzu",,"Focus","The quality of decision is like the well-timed swoop of a falcon which enables it to strike and destroy its victim."
"Sun Tzu",,"Leadership","The skillful leader subdues the enemy's troops without any fighting; he captures their cities without laying siege to them; he overthrows their kingdom without lengthy operations in the field."
"Sun Tzu",,"Success","The opportunity to secure ourselves against defeat lies in our own hands, but the opportunity of defeating the enemy is provided by the enemy himself."
"Sun Tzu",,"Leadership","The general who advances without coveting fame and retreats without fearing disgrace, whose only thought is to protect his country and do good service for his sovereign, is the jewel of the kingdom."
